SPATIAL ANALYSIS METRICS,,Total reads,18869192
SPATIAL ANALYSIS METRICS,,Total assigned reads,18357095,97.29
SPATIAL ANALYSIS METRICS,,Discarded reads,0
SPATIAL ANALYSIS METRICS,,Discarded reads,25561,0.14
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,3544907
SPATIAL ANALYSIS METRICS,,Stitched reads,18843631,99.86
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,18357095,97.42
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,220285140
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,218751117,99.30
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,256999330
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,254540678,99.04
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
