time(s),filename,numbytes,info
6.9,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,0,start
7.0,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,0,start
7.3,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 1
7.4,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 2
7.4,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 1
7.6,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 2
7.8,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 3
8.0,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 4
8.0,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 3
8.0,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 4
8.0,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 5
8.0,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 6
8.0,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 5
8.2,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 6
8.4,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 9
8.4,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 7
8.6,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 8
8.6,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 10
8.6,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 9
8.7,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 7
8.7,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 8
8.8,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 11
8.9,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 14
8.9,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 12
9.0,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 12
9.0,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 10
9.0,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 11
9.1,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 13
9.3,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 14
9.3,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 17
9.6,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 15
9.6,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 13
9.6,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 16
9.6,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 16
9.6,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 15
9.7,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 17
9.9,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 20
9.9,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 18
9.9,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 20
10.0,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 18
10.2,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 21
10.2,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 19
10.3,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 19
10.3,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 22
10.3,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 21
10.4,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 23
10.4,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 22
10.6,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 23
10.6,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,7925681,part 25
10.6,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,4866732,part 25
10.9,DSP-Demo-A-A02_S2_L001_R2_001.fastq.gz,16777216,part 24
10.9,DSP-Demo-A-A02_S2_L001_R1_001.fastq.gz,16777216,part 24
