SPATIAL ANALYSIS METRICS,,Total reads,15000
SPATIAL ANALYSIS METRICS,,Total assigned reads,0,0.00
SPATIAL ANALYSIS METRICS,,Discarded reads,0
SPATIAL ANALYSIS METRICS,,Discarded reads,3170,21.13
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,0
SPATIAL ANALYSIS METRICS,,Stitched reads,11830,78.87
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
