SPATIAL ANALYSIS METRICS,,Total reads,25523270
SPATIAL ANALYSIS METRICS,,Total assigned reads,24606992,96.41
SPATIAL ANALYSIS METRICS,,Discarded reads,0
SPATIAL ANALYSIS METRICS,,Discarded reads,32251,0.13
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,4304117
SPATIAL ANALYSIS METRICS,,Stitched reads,25491019,99.87
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,24606992,96.53
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,295283904
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,293356719,99.35
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,344497888
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,341353126,99.09
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
