READ MEAN QUALITY,Read1,Q17 Reads,4
READ MEAN QUALITY,Read1,Q18 Reads,22
READ MEAN QUALITY,Read1,Q19 Reads,102
READ MEAN QUALITY,Read1,Q20 Reads,394
READ MEAN QUALITY,Read1,Q21 Reads,1796
READ MEAN QUALITY,Read1,Q22 Reads,4664
READ MEAN QUALITY,Read1,Q23 Reads,13426
READ MEAN QUALITY,Read1,Q24 Reads,32504
READ MEAN QUALITY,Read1,Q25 Reads,61293
READ MEAN QUALITY,Read1,Q26 Reads,89019
READ MEAN QUALITY,Read1,Q27 Reads,160179
READ MEAN QUALITY,Read1,Q28 Reads,195198
READ MEAN QUALITY,Read1,Q29 Reads,262526
READ MEAN QUALITY,Read1,Q30 Reads,370725
READ MEAN QUALITY,Read1,Q31 Reads,553674
READ MEAN QUALITY,Read1,Q32 Reads,2023709
READ MEAN QUALITY,Read1,Q33 Reads,15261644
READ MEAN QUALITY,Read1,Q34 Reads,6718175
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 1 A Average Quality,33.75
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 2 A Average Quality,33.60
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 3 A Average Quality,32.94
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 4 A Average Quality,33.04
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 5 A Average Quality,33.25
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 6 A Average Quality,33.40
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 7 A Average Quality,33.38
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 8 A Average Quality,33.34
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 9 A Average Quality,33.33
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 10 A Average Quality,33.34
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 11 A Average Quality,33.32
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 12 A Average Quality,33.32
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 13 A Average Quality,33.34
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 14 A Average Quality,33.32
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 15 A Average Quality,33.12
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 16 A Average Quality,33.57
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 17 A Average Quality,33.72
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 18 A Average Quality,33.71
